ai-interaction-atlas|Builders choosing an AI interaction pattern|Search/filter → inspect detail → compare → copy a handoff|Identify an appropriate pattern, understand failure states, and reuse its implementation guidance|Search, detail, bounded comparison, accurate copy; currently blocked before input|Boot without entitlement; empty/no-match search; comparison limits; unavailable Pro|Model execution, generated AI answers, commercial migration|Runtime startup and useful free-mode availability must be acceptance gates
ai-project-pack|Maintainers setting up a repository workflow|Read fit and scope → follow repository/setup links|Reach the actual pack and understand how to adopt it without mistaking the landing page for an executing tool|Clear scope, working repository handoff, installation/use explanation|Broken destination; first-use prerequisites; narrow reading layout|Cloud workspace, automatic project execution|Verify destination and setup against linked repository before calling adoption complete
analytics-privacy-kit|Small-site owners preparing notices|Choose services and context → generate → review/copy text|Obtain an editable notice matching selected services, with unresolved choices visible|Selection-to-output consistency, editable/copyable draft, explicit review limits|No service; mixed services; long organization/contact strings; repeat/reset|Legal certification or consent-management platform|Service combinations and exact expected wording need independent examples
api-key-token-redactor|Developers sharing logs or configuration|Paste → scan → review detected spans → redact/copy|Share a usable redacted copy while recognizing that undetected secrets may remain|Preserve non-secret context, visible detections, correct copy, explicit detection limits|Empty text; false positives; unusual key formats; huge logs; repeated redaction|Secret verification, remote scanning, guaranteed secret absence|Representative positive/negative detection fixtures and output preservation boundaries need an explicit oracle
ats-paste-doctor|Applicants pasting a resume into a job form|Paste → inspect/clean → compare/reuse text|Paste readable text with intended names and content preserved and risky transformations visible|Issue locations, reviewable cleaned output, copy and clear limitation wording|Empty input; bullets; Unicode names; long resume; repeat cleaning|ATS ranking guarantees or job-application automation|Define which transformations may change meaning and how the user reviews them
codex-product-shipping-playbooks|Developers adopting a shipping workflow|Read playbook scope → open repository → choose a playbook|Reach a usable playbook and know its prerequisites and human review points|Readable guide, specific repository handoff, accurate execution boundaries|Stale links; missing setup requirements; narrow reading layout|Hosted project manager or automatic deployment|Destination availability and adoption were not exercised end to end
codex-usage-forecaster|Codex users planning work around reported usage|Enter usage samples → inspect rate/reset estimate|Understand an estimate with its sampling assumptions and uncertainty, without reading it as authoritative quota state|Valid time/percentage samples, transparent estimate, reset context|One sample; zero/negative time delta; out-of-order samples; reset; extreme percentages|Fetching account quotas or billing predictions|Define sufficient samples, reset detection, and impossible inputs independently of runtime
codex-work-os|Operators seeking repeatable draft workflows|Read role/workflow descriptions → follow repository links|Find and adopt a suitable workflow with required human review understood|Clear audience, correct repository links, scope and prerequisites|Unavailable links; unfamiliar user; mobile reading|Accounts, executing workflows inside this landing page|External repository adoption remains unverified
cold-email-requirement-checker|People reviewing an outreach draft before sending|Paste context/draft → check → review findings|Find actionable omissions/risky phrases with evidence while retaining editorial judgment|Located findings, understandable rules, copyable/reviewable checklist|Blank draft; short/long mail; negation; repeated checks|Sending email, legal assurance, deliverability scoring|Rule coverage and false-positive behavior need representative cases
color-replace|People changing a color in a local image|Choose image → pick source/target/tolerance → preview → save PNG|Download the intended recoloring without changing unrelated areas or the original|Decode, color selection, tolerance including zero, preview, PNG export|Invalid file; transparent pixels; zero/max tolerance; large image; reselect|Full image editor, automatic object segmentation|Cross-browser pixel/export fidelity and a stated memory envelope remain unproven
