id	name_ja	name_en	scope	definition_ja	definition_en	features_ja	sources
moroccan-trellis	モロッカントレリス	Moroccan Trellis	contemporary decorative/design-market descriptor	丸みのある辺と上下の尖りをもつ格子セルなどを反復する、現代のインテリア市場で「Moroccan Trellis」と呼ばれる装飾柄の総称的ラベルです。	A contemporary decorative-market label for repeating lattice cells, often with rounded sides and pointed top and bottom.	同形の格子セルが連続して面を埋める / セルはランタン形・四つ葉形に近い変種を含む / 歴史的に単一のモロッコ正典文様と断定せず、市場ラベルとして扱う	Isthmus / University of Wisconsin design commentary|https://isthmus.com/arts/emphasis/design-tile-moroccan-trellis/; TM Interiors|https://tm-interiors.co.uk/fabric-guide/guide-to-common-fabric-patterns
ikat	イカット	Ikat	resist-dyeing technique applied to yarn before weaving	織る前の経糸・緯糸または両方を部分的に防染してから織る技法で、その工程に由来する輪郭のにじみ・ずれがイカットらしい表情を作ります。	A resist-dyeing technique in which warp, weft, or both are bound and dyed before weaving; the process often produces softly feathered or shifted motif edges.	モチーフの輪郭にわずかなずれやぼかしが見える / 幾何学形や植物形など多様で、形そのものは固定されない / 単一の柄名ではなく制作技法として扱う	The Metropolitan Museum of Art|https://www.metmuseum.org/pt/essays/textiles-island-southeast-asia; The Metropolitan Museum of Art|https://www.metmuseum.org/de/press-releases/the-fabric-of-life-ikat-textiles-of-indonesia-2006-exhibitions
kilim	キリム柄	Kilim Pattern	flat-woven textile category and kilim-inspired visual family, not one fixed motif	キリムは毛足のない平織り系の敷物・織物カテゴリーで、表面には菱形、フック、帯状幾何学など多様なモチーフが用いられます。本辞典では市場でいう「キリム柄」を、その外観を指す検索ラベルとして扱います。	Kilim is a category of pileless flat-woven rugs and textiles that can carry many geometric motifs. Here, 'kilim pattern' is treated as a search label for that visual family rather than one single canonical motif.	平面的な織物上に幾何学モチーフが反復することが多い / 菱形・フック・帯など複数のモチーフ体系を含む / 一つの固定柄ではなくキリム外観の検索カテゴリーとして扱う	Encyclopaedia Iranica|https://www.iranicaonline.org/articles/kelim/; The Metropolitan Museum of Art|https://www.metmuseum.org/art/collection/search/787736
madras-check	マドラスチェック	Madras Check	Madras textile/check style rather than one fixed grid specification	マドラス／チェンナイの綿織物文化と結びつく、多色の縦横線が交差するチェック系の見た目です。ひとつの固定格子を指す語ではありません。	A multicolor woven check/plaid appearance associated with Madras/Chennai cotton textiles. It is a textile tradition and style, not one immutable grid.	複数色の帯が縦横に交差する / 明るい多色使いが現代の強い認識手掛かり / 特定の一種類の格子だけを正解としない	Kotobank / Shogakukan|https://kotobank.jp/word/%E3%81%BE%E3%81%A9%E3%82%89%E3%81%99%E3%81%A1%E3%81%88%E3%81%A4%E3%81%8F-635299; Smithsonian National Museum of African American History and Culture|https://nmaahc.si.edu/object/nmaahc_2015.153; Collins English Dictionary|https://www.collinsdictionary.com/dictionary/english/madras
prince-of-wales-check	プリンス・オブ・ウェールズ・チェック	Prince of Wales Check	glen-check-derived check convention with modern naming overlap	グレンチェック系の細かな複合格子に、より大きな対比色のオーバーチェックを重ねる形で説明されることが多いチェックです。現代ではグレンチェックと同義的に使われる場合もあります。	A Glen-Check-like compound check commonly distinguished by a larger contrasting overcheck, although modern usage often overlaps with the term Glen Check.	細かなグレン系格子の上に大きな線格子が見える / 実用上はオーバーチェックの有無が重要な手掛かり / 名称はグレンチェックと重なって使われることがある	Permanent Style|https://www.permanentstyle.com/2017/01/the-guide-to-cloth-weaves-and-designs.html; Permanent Style|https://www.permanentstyle.com/2021/01/check-mate-a-guide-to-checked-shirt-patterns.html; Permanent Style|https://www.permanentstyle.com/2025/12/the-origins-of-tweed-patterns-scottish-estates-and-district-checks.html
koushi	格子	Koushi	broad Japanese lattice/check family	縦線と横線を交差させて四角・長方形の区画を作る、日本の広い格子文様群です。線幅や本数、間隔によって多くの派生があります。	A broad Japanese lattice/check family formed by intersecting vertical and horizontal lines, with many variants in spacing, line weight, and count.	線そのものが交差して格子を作る / 市松のように塗りつぶした正方形を交互に置く構造とは異なる / ひとつの固定反復ではなく多数の格子系を含む	Agency for Cultural Affairs / Cultural Heritage Online|https://online.bunka.go.jp/heritages/detail/651646; National Diet Library Search|https://ndlsearch.ndl.go.jp/books/R100000002-I034012068; National Diet Library Collaborative Reference Database|https://crd.ndl.go.jp/reference/entry/index.php?id=1000289587&page=ref_view
regimental-stripe	レジメンタルストライプ	Regimental Stripe	stripe style associated with English/British regimental ties rather than one fixed repeat	英国の連隊ネクタイなどと結びつく斜め縞のスタイル群です。特定の一色順・線幅・方向だけをレジメンタルの正解とはできません。	A family of diagonal stripe conventions associated with British regimental neckwear. No single color sequence, width, or direction defines the whole category.	ネクタイで見られる斜めの反復縞が代表的 / 色の組み合わせが所属や伝統と結びつく場合がある / 一般化した参考柄を特定連隊の真正柄とは扱わない	Permanent Style|https://www.permanentstyle.com/2020/10/name-that-stripe-a-guide-to-shirt-stripe-patterns.html; Artlandia Pattern Design Glossary|https://artlandia.com/wonderland/glossary/
breton-stripe	ブレトンストライプ	Breton Stripe	French maritime clothing/style convention derived from striped naval knitwear	フランスの海軍・海洋服の歴史と結びつく、青や紺と白の横縞を代表例とするスタイルです。現代のブレトン柄は歴史的制服仕様より広い概念です。	A maritime clothing convention associated with the French naval/Breton-top tradition, classically using blue or navy horizontal stripes on white. Modern usage is broader than the historic uniform specification.	横方向の青・紺と白の縞が強い認識手掛かり / 衣服、とくにボートネック系トップスとの結びつきが強い / 現代品の線幅や本数は歴史的制服仕様に限定されない	Royal Museums Greenwich|https://www.rmg.co.uk/stories/maritime-history/stripes-sea-history-breton-top; France Today|https://francetoday.com/culture/a-history-of-the-breton-stripe/
swiss-dot	スイスドット	Swiss Dot	dotted Swiss textile/fabric category, not generic printed polka dots	薄く張りのある生地の表面に小さな点を持つドッテッドスイス系の生地表現です。単なる平面印刷の水玉とは区別します。	A dotted-Swiss textile appearance: fine, sheer, crisp fabric carrying small surface dots. It is a fabric/treatment category, not simply flat printed polka dots.	小さな点が生地表面の織り・刺繍・フロックなどとして見える / 水玉より点が小さく繊細なことが多い / 点そのものだけでなく薄地の質感が識別に重要	Collins English Dictionary|https://www.collinsdictionary.com/us/dictionary/english/dotted-swiss
herringbone	ヘリンボーン	Herringbone	herringbone weave/arrangement and its broken-V visual family	短い斜線の列が途中で向きを反転し、折れたV字や魚の骨のような連続列を作る構造です。織りとしても広い視覚配置としても使われます。	An arrangement in which rows of short diagonal strokes reverse direction to form repeated broken V shapes, widely used as a weave and broader visual construction.	V字の頂点で斜線が切り替わり、連続線にならない / シェブロンより魚骨状の細かな構造が見える / 織物ではツイル方向の反転として現れる	Collins English Dictionary|https://www.collinsdictionary.com/dictionary/english/herringbone; Permanent Style|https://www.permanentstyle.com/2017/01/the-guide-to-cloth-weaves-and-designs.html
ogee	オジー	Ogee	ogee double-curve form used as a repeating surface-design family	凹凸を反転させたS字状の二重曲線を向かい合わせたり連結したりして、尖った区画を反復する柄です。オジーは本来ひとつの固定柄ではなく、曲線形式を指します。	A repeating family built from opposed or interlocking S-shaped double curves that form pointed or bulbous compartments. Ogee is a curve form, not one universal repeat.	S字状の二重曲線 / 上下で尖る区画が生まれやすい / 単一の固定リピートではない	Collins English Dictionary|https://www.collinsdictionary.com/dictionary/english/ogee; Getty Research Institute, Art & Architecture Thesaurus|https://www.getty.edu/vow/AATFullDisplay?find=&logic=&note=&page=1&subjectid=300003522
basketweave	バスケットウィーブ	Basketweave	weave structure and basket-like visual family	複数本の糸や帯をまとまりとして交互に組み、かご編みのようなブロック状の表面を作る織り・見た目の系統です。特定の一本のプリント柄を指す語ではありません。	A weave structure and visual family in which grouped threads or strips interlace as units, creating a blocky basket-like surface. It is not one universal printed motif.	縦横の帯が交互に上下する / 小さなブロック状の織り感 / 一本ずつではなく束として見える	Museum of Fine Arts Boston, CAMEO|https://cameo.mfa.org/wiki/Basket_weave
toile-de-jouy	トワル・ド・ジュイ	Toile de Jouy	printed-textile/design tradition associated with pictorial figural scenes	明るい地に人物・風景・牧歌的または物語的な場面を一色中心で描くことが多い、ジュイ＝アン＝ジョザスと結びつくプリント布の伝統です。ひとつの固定リピートではありません。	A printed-textile/design tradition associated with Jouy-en-Josas, often recognized by pictorial figures, landscapes, or narrative scenes in one contrasting color on a light ground. It is not one fixed repeat.	人物や風景を含む絵画的場面 / 明るい地に単色系で描く例が多い / 単純な花柄だけではない	The Metropolitan Museum of Art|https://www.metmuseum.org/art/collection/search/226246; The Metropolitan Museum of Art|https://www.metmuseum.org/art/collection/search/208809
chintz	チンツ	Chintz	printed cotton/textile tradition commonly associated with floral patterning	花・葉・枝などを密に配した多色のプリントで認識されることが多い綿布・染織の伝統です。チンツは本来ひとつの固定花柄名ではありません。	A printed or painted cotton/textile tradition commonly recognized through dense multicolor flowers, foliage, and branches. Chintz is not the name of one fixed floral motif.	花・葉・枝が密に入る例が多い / 多色の装飾的な植物表現 / 単一の固定リピートではない	Cambridge Dictionary|https://dictionary.cambridge.org/dictionary/english/chintz; Europeana|https://www.europeana.eu/en/stories/what-is-chintz
